Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Admission_grade,Curricular_units_2nd_sem_evaluations,Age_at_enrollment,Previous_qualification_grade,Curricular_units_1st_sem_evaluations,Tuition_fees_up_to_date,Status
2,12.5,2,11.666666666666666,141.0,9,18,149.0,9,Yes,Enrolled
5,10.2,6,11.666666666666666,113.0,12,18,121.0,7,Yes,Graduate
5,12.4,5,13.4,120.0,9,21,120.0,9,Yes,Graduate
0,0.0,0,0.0,130.9,6,28,148.0,5,No,Dropout
0,0.0,0,0.0,120.0,6,58,133.1,9,Yes,Dropout
0,0.0,0,0.0,134.1,5,49,135.0,5,No,Dropout
2,10.5,3,10.666666666666666,120.0,9,24,150.0,6,Yes,Enrolled
4,14.75,4,13.75,114.8,5,25,130.0,5,Yes,Graduate
0,0.0,1,10.0,123.0,5,33,133.1,5,Yes,Dropout
0,0.0,0,0.0,118.0,5,33,133.1,11,No,Dropout
4,15.5,1,16.0,100.0,5,40,110.0,4,Yes,Graduate
5,11.125,5,12.285714285714286,151.1,8,48,170.0,9,Yes,Graduate
3,10.333333333333334,3,12.0,116.9,8,18,120.0,10,No,Enrolled
6,12.666666666666666,6,12.666666666666666,106.0,7,24,133.1,7,Yes,Graduate
4,13.25,5,11.8,127.1,7,23,139.0,6,Yes,Graduate
5,14.666666666666666,5,10.6,155.5,7,39,133.1,6,No,Dropout
8,12.25,9,11.9,101.0,14,21,133.1,16,Yes,Graduate
2,10.5,4,11.25,128.2,8,34,120.0,8,Yes,Dropout
5,11.4,4,11.0,113.0,6,41,100.0,9,Yes,Enrolled
6,12.5,6,12.0,122.8,6,18,134.0,6,Yes,Graduate
4,10.833333333333334,4,11.75,145.6,10,34,130.0,10,Yes,Enrolled
1,16.0,2,10.0,116.5,8,19,128.0,8,Yes,Dropout
7,13.714285714285714,7,13.714285714285714,142.0,8,19,154.0,8,Yes,Graduate
6,15.8,6,14.875,150.0,12,28,150.0,14,Yes,Graduate
0,0.0,5,10.8,133.3,6,18,134.0,7,Yes,Dropout
2,10.0,3,12.0,115.8,12,19,127.0,11,Yes,Dropout
2,13.5,5,12.5,100.0,19,19,133.1,10,No,Dropout
8,16.327272727272728,7,14.728571428571428,128.6,11,18,130.0,7,Yes,Graduate
5,14.8,6,12.0,137.1,8,18,135.0,8,Yes,Graduate
6,11.0,6,11.428571428571429,149.0,7,18,143.0,8,Yes,Dropout
6,13.5,6,14.166666666666666,147.0,6,19,150.0,6,Yes,Graduate
5,14.6,5,12.5,150.0,10,31,150.0,12,Yes,Graduate
6,14.333333333333334,6,14.166666666666666,103.5,6,33,130.0,6,Yes,Graduate
6,13.55,5,14.46,107.8,8,20,113.0,10,Yes,Enrolled
2,11.5,5,12.8,130.0,19,22,130.0,12,Yes,Enrolled
5,13.4,6,12.666666666666666,109.4,8,19,115.0,8,Yes,Graduate
6,13.0,6,12.5,143.6,6,18,146.0,6,Yes,Dropout
0,0.0,0,0.0,124.3,0,18,132.0,0,Yes,Dropout
0,0.0,0,0.0,119.5,0,18,116.0,0,No,Dropout
0,0.0,0,0.0,175.6,0,18,163.0,0,Yes,Graduate
3,11.0,5,11.2,116.1,5,19,122.0,8,Yes,Graduate
6,17.428571428571427,6,16.5,126.6,7,18,136.0,6,Yes,Dropout
5,12.0,3,13.666666666666666,130.8,5,18,142.0,9,Yes,Graduate
7,15.228571428571428,7,15.228571428571428,133.5,8,18,139.0,8,Yes,Graduate
9,13.22222222222222,9,12.77777777777778,136.9,9,21,140.0,10,Yes,Graduate
7,14.428571428571429,7,14.428571428571429,142.3,8,18,165.0,8,Yes,Graduate
6,13.714285714285714,6,13.875,114.3,7,18,122.0,8,Yes,Graduate
6,13.193333333333332,7,13.128,122.9,13,18,135.0,10,Yes,Graduate
7,12.4125,6,11.605,117.2,10,20,128.0,9,Yes,Graduate
5,12.0,5,14.6,152.0,8,18,139.0,5,Yes,Graduate
0,0.0,0,0.0,122.2,0,18,125.0,0,Yes,Dropout
5,11.6,5,11.8,101.7,6,20,102.0,6,Yes,Graduate
6,12.333333333333334,6,12.333333333333334,119.9,6,20,116.0,6,Yes,Graduate
0,0.0,4,11.0,123.7,5,19,138.0,5,Yes,Dropout
11,12.909090909090908,11,13.181818181818182,121.8,11,19,135.0,11,Yes,Graduate
0,0.0,1,11.0,106.1,0,18,110.0,6,No,Dropout
6,12.285714285714286,6,11.833333333333334,124.3,7,19,132.0,6,Yes,Graduate
8,12.98125,8,12.98125,124.3,8,20,126.0,8,Yes,Graduate
5,11.2,6,11.333333333333334,117.4,6,21,117.4,10,Yes,Graduate
6,11.68,6,11.68,112.7,12,21,120.0,12,Yes,Graduate
6,13.5,6,14.5,123.7,7,20,116.0,6,Yes,Graduate
7,12.857142857142858,7,13.142857142857142,105.8,8,19,111.0,7,Yes,Graduate
2,10.5,2,11.5,124.2,7,21,128.0,8,No,Dropout
5,11.8,5,14.2,122.3,7,18,123.0,6,Yes,Graduate
5,12.2,5,11.666666666666666,123.7,7,19,131.0,8,Yes,Graduate
8,14.875,7,13.175,129.8,8,18,135.0,8,Yes,Graduate
7,13.314285714285717,7,13.314285714285717,123.8,8,19,136.0,8,Yes,Graduate
3,10.5,3,10.6,126.4,12,18,132.0,13,Yes,Graduate
4,10.75,4,12.0,115.1,8,18,120.0,11,Yes,Enrolled
6,14.142857142857142,6,13.428571428571429,138.4,7,18,144.0,7,Yes,Graduate
5,15.571428571428571,4,13.25,118.2,8,18,129.0,7,Yes,Graduate
0,0.0,2,13.0,121.7,6,18,136.0,6,Yes,Dropout
6,14.0,6,14.333333333333334,118.0,7,18,125.0,6,Yes,Enrolled
0,0.0,0,0.0,119.8,0,18,125.0,0,Yes,Dropout
6,13.166666666666666,6,14.0,164.9,6,18,154.0,6,Yes,Graduate
6,12.833333333333334,2,12.0,100.0,11,20,100.0,2,Yes,Graduate
5,10.6,5,12.333333333333334,121.6,10,18,124.0,9,Yes,Enrolled
5,10.4,5,11.8,120.4,7,18,126.0,8,Yes,Graduate
7,12.791428571428572,7,12.791428571428572,117.8,8,20,124.0,8,Yes,Graduate
5,11.2,8,11.625,110.0,12,40,150.0,8,Yes,Graduate
7,12.43142857142857,6,11.994444444444444,128.8,11,18,133.0,11,Yes,Graduate
5,12.2,5,11.6,116.6,12,19,126.0,9,Yes,Graduate
0,0.0,0,0.0,120.0,6,24,120.0,5,Yes,Dropout
6,13.166666666666666,6,13.166666666666666,157.5,7,19,175.0,8,Yes,Dropout
7,14.1,7,14.1,136.3,8,19,141.0,8,Yes,Graduate
7,12.94285714285714,6,12.396666666666668,121.5,9,20,133.0,8,Yes,Graduate
8,16.0875,7,15.014285714285714,133.9,8,18,143.0,7,Yes,Graduate
0,0.0,0,0.0,136.8,0,18,141.0,0,Yes,Graduate
8,15.1,7,14.05,133.5,8,19,134.0,8,Yes,Graduate
8,15.2,7,14.85,130.0,8,18,138.0,8,Yes,Dropout
5,13.0,6,13.0,140.0,19,19,140.0,10,Yes,Graduate
8,15.8625,7,14.7875,132.7,8,19,142.0,8,Yes,Graduate
7,14.671428571428574,7,13.7,117.8,9,19,118.0,7,Yes,Graduate
7,12.242857142857144,7,12.495714285714286,126.1,9,19,131.0,7,Yes,Dropout
6,14.566666666666668,6,14.566666666666668,120.0,7,19,130.0,7,Yes,Graduate
4,11.25,5,11.2,100.0,5,25,133.1,5,No,Dropout
7,12.685714285714283,7,12.685714285714283,116.8,8,20,130.0,8,Yes,Graduate
4,13.25,7,13.571428571428571,128.3,14,23,130.0,12,No,Dropout
0,0.0,0,0.0,117.0,0,20,133.1,0,Yes,Dropout
6,11.166666666666666,5,11.0,131.5,7,27,130.0,8,Yes,Graduate
8,14.445,8,14.445,134.8,8,18,149.0,8,Yes,Graduate
4,11.75,5,13.6,146.6,10,18,163.0,9,Yes,Enrolled
8,14.625,11,14.0,130.0,11,23,130.0,12,No,Dropout
6,13.416666666666666,6,13.416666666666666,127.5,7,19,145.0,7,Yes,Graduate
5,11.4,5,12.333333333333334,123.0,7,18,130.0,8,Yes,Graduate
8,14.8125,7,13.1,100.0,8,20,128.0,8,Yes,Graduate
5,12.8,4,13.2,114.2,10,18,111.0,9,Yes,Graduate
8,14.75,8,14.75,123.5,8,19,140.0,8,Yes,Graduate
6,14.333333333333334,6,13.142857142857142,144.3,6,19,140.0,7,Yes,Graduate
5,12.5,4,12.5,142.2,9,19,145.0,9,Yes,Enrolled
5,14.857142857142858,4,13.75,161.9,8,18,151.0,6,Yes,Graduate
6,13.0,5,12.4,135.9,7,18,132.0,11,Yes,Graduate
6,12.0,6,13.333333333333334,110.1,6,18,116.0,6,Yes,Graduate
8,12.0,11,11.727272727272728,122.5,8,28,120.0,11,No,Dropout
1,14.0,4,12.5,138.1,11,19,158.0,8,Yes,Dropout
0,0.0,0,0.0,117.3,0,20,116.0,0,Yes,Dropout
7,13.614285714285714,6,13.533333333333331,106.8,9,19,112.0,8,Yes,Graduate
6,12.666666666666666,6,13.166666666666666,120.1,6,20,126.0,6,Yes,Graduate
5,11.0,5,13.2,116.5,8,19,120.0,9,Yes,Graduate
4,12.6,5,12.2,120.0,7,21,117.0,7,Yes,Enrolled
7,14.857142857142858,7,13.428571428571429,139.7,7,19,153.0,7,Yes,Graduate
6,12.625,6,12.714285714285714,123.7,8,18,124.0,8,Yes,Graduate
0,0.0,0,0.0,116.5,0,19,127.0,0,Yes,Dropout
6,13.666666666666666,6,13.666666666666666,122.2,9,19,126.0,6,Yes,Graduate
6,13.166666666666666,5,11.0,146.0,6,20,133.1,6,Yes,Graduate
6,13.333333333333334,5,11.4,108.8,9,18,114.0,11,Yes,Enrolled
0,0.0,0,0.0,133.0,0,18,133.0,0,Yes,Enrolled
5,12.0,4,12.0,123.8,6,18,130.0,7,Yes,Graduate
0,0.0,0,0.0,120.0,0,18,127.0,6,Yes,Dropout
6,11.666666666666666,5,11.0,126.9,6,18,143.0,14,Yes,Graduate
6,11.571428571428571,5,12.0,121.3,8,20,130.0,12,Yes,Dropout
8,12.55,7,13.308571428571428,129.0,10,19,136.0,7,Yes,Graduate
3,10.666666666666666,3,13.666666666666666,114.9,7,21,125.0,8,No,Dropout
0,0.0,0,0.0,106.5,9,20,110.0,6,No,Dropout
4,11.25,5,12.2,133.9,8,18,130.0,10,Yes,Graduate
6,12.833333333333334,6,12.666666666666666,124.9,6,20,135.0,7,Yes,Graduate
8,14.07125,8,14.07125,128.5,8,19,133.0,8,Yes,Graduate
5,13.2,4,14.25,126.2,9,22,122.0,14,Yes,Dropout
0,0.0,0,0.0,121.7,2,22,122.0,0,No,Dropout
4,10.25,3,12.0,120.0,8,18,121.0,10,Yes,Enrolled
7,10.571428571428571,6,11.166666666666666,113.2,16,21,123.0,18,Yes,Enrolled
5,11.6,2,13.0,120.3,8,19,128.0,12,Yes,Graduate
0,0.0,0,0.0,127.8,0,19,139.0,0,Yes,Dropout
7,14.901428571428571,7,14.901428571428571,123.3,8,20,124.0,8,Yes,Dropout
8,12.445555555555554,7,12.65,126.3,9,18,135.0,8,Yes,Graduate
5,10.6,7,11.0,128.2,5,22,110.0,12,No,Dropout
5,12.666666666666666,4,12.4,134.9,9,20,138.0,7,Yes,Graduate
6,12.666666666666666,6,12.0,140.0,7,19,140.0,7,Yes,Graduate
7,13.328571428571427,7,12.135714285714286,115.5,10,19,126.0,8,Yes,Graduate
6,12.5,5,12.62,106.7,8,20,113.0,10,Yes,Enrolled
3,11.333333333333334,3,10.666666666666666,140.0,11,25,120.0,11,Yes,Enrolled
7,14.051428571428572,6,13.766666666666666,136.6,10,19,145.0,12,Yes,Graduate
8,13.11625,8,13.11625,119.3,8,19,124.0,8,Yes,Graduate
0,0.0,0,0.0,152.0,0,19,160.0,5,No,Dropout
7,13.571428571428571,6,12.7,144.3,8,20,138.0,9,Yes,Graduate
5,11.7,7,11.857142857142858,159.0,21,25,130.0,11,Yes,Enrolled
6,12.333333333333334,6,12.333333333333334,129.5,7,20,127.0,7,Yes,Graduate
5,16.4,4,15.75,140.0,10,24,170.0,9,Yes,Enrolled
5,13.2,5,13.333333333333334,105.4,6,20,111.0,6,Yes,Graduate
8,13.49375,7,14.355555555555554,136.0,8,21,100.0,9,Yes,Graduate
5,13.0,6,13.0,160.0,11,19,160.0,8,Yes,Graduate
6,13.5,6,12.833333333333334,139.1,6,19,152.0,6,Yes,Graduate
4,13.0,5,13.2,126.9,5,21,144.0,5,Yes,Graduate
8,16.582222222222224,7,17.005555555555556,184.0,9,28,133.8,9,Yes,Graduate
5,11.0,5,10.6,125.0,8,19,125.0,8,No,Graduate
5,13.6,5,14.0,138.5,6,18,150.0,5,Yes,Graduate
7,12.114285714285714,7,12.114285714285714,133.5,8,18,143.0,8,Yes,Graduate
8,13.05875,8,13.05875,141.5,8,18,145.0,8,Yes,Graduate
7,13.285714285714286,7,13.285714285714286,130.0,8,22,120.0,8,Yes,Graduate
3,10.666666666666666,4,11.0,131.0,8,19,138.0,9,Yes,Enrolled
8,15.1625,7,14.071428571428571,145.0,8,18,145.0,7,Yes,Graduate
0,0.0,0,0.0,114.3,0,20,122.0,0,No,Dropout
3,11.0,4,11.25,108.3,12,26,110.0,9,No,Dropout
6,13.625,6,14.0,125.2,8,18,136.0,6,Yes,Graduate
3,11.666666666666666,6,12.166666666666666,131.7,11,21,145.0,8,Yes,Dropout
7,13.297142857142855,7,13.297142857142855,126.3,8,18,141.0,8,Yes,Graduate
6,14.25,6,13.923076923076923,147.6,9,20,149.0,14,Yes,Graduate
7,12.833333333333334,7,13.37,125.1,13,18,130.0,11,Yes,Graduate
3,11.0,5,12.4,123.8,8,19,121.0,5,Yes,Enrolled
4,13.75,4,15.0,130.8,5,20,128.0,5,Yes,Dropout
6,12.571428571428571,6,13.333333333333334,154.1,7,18,152.0,6,Yes,Graduate
4,12.625,3,12.0,122.6,9,20,132.0,8,Yes,Enrolled
5,12.2,5,13.4,103.5,9,22,107.0,7,Yes,Graduate
0,0.0,0,0.0,132.8,0,18,131.0,0,Yes,Enrolled
5,11.4,4,11.5,100.0,5,21,141.0,9,Yes,Graduate
6,12.166666666666666,6,12.0,115.8,11,18,120.0,12,Yes,Enrolled
7,13.485714285714284,7,13.485714285714284,133.8,8,18,148.0,8,Yes,Graduate
6,11.285714285714286,6,12.0,118.5,8,18,130.0,6,Yes,Graduate
0,0.0,0,0.0,150.3,0,19,145.0,0,Yes,Dropout
3,14.428571428571429,3,10.333333333333334,107.8,11,19,112.0,7,Yes,Enrolled
5,13.76,5,12.94,127.5,7,19,138.0,10,Yes,Enrolled
7,13.258571428571427,7,13.258571428571427,120.5,11,19,135.0,11,Yes,Graduate
4,12.0,4,12.25,117.3,10,19,118.0,9,Yes,Enrolled
1,10.0,3,11.666666666666666,120.6,15,19,123.0,9,No,Dropout
6,12.5,6,13.571428571428571,118.7,6,21,126.0,7,Yes,Graduate
5,11.833333333333334,5,11.8,130.8,9,20,150.0,9,Yes,Graduate
5,13.285714285714286,5,14.2,112.6,7,20,121.0,7,Yes,Graduate
5,11.8,5,11.0,117.2,6,41,133.1,8,Yes,Graduate
7,12.6375,4,13.625,130.0,8,32,130.0,16,Yes,Enrolled
7,14.652857142857142,7,14.652857142857142,131.8,8,18,139.0,8,Yes,Graduate
6,11.333333333333334,6,11.333333333333334,97.0,6,35,160.0,9,Yes,Graduate
0,0.0,4,13.7,130.0,7,32,110.0,12,No,Dropout
8,14.75,11,13.727272727272728,148.0,8,37,140.0,11,Yes,Graduate
7,11.142857142857142,7,11.75,103.4,12,30,130.0,9,Yes,Dropout
5,13.0,6,12.333333333333334,127.1,11,23,132.0,9,Yes,Graduate
6,13.857142857142858,6,14.0,124.0,7,20,139.0,6,Yes,Dropout
4,11.75,4,11.5,121.4,6,21,135.0,7,Yes,Graduate
5,13.2,5,11.2,118.1,5,19,117.0,6,Yes,Graduate
7,15.07,7,15.07,121.3,8,18,137.0,8,Yes,Graduate
1,12.0,1,10.0,119.5,7,18,144.0,6,Yes,Dropout
5,12.666666666666666,4,12.0,115.2,6,24,130.0,5,Yes,Enrolled
4,12.6,4,13.0,130.2,11,22,140.0,11,Yes,Graduate
3,11.25,4,11.0,130.0,7,18,130.0,7,Yes,Dropout
5,12.166666666666666,6,13.571428571428571,126.9,11,18,130.0,8,Yes,Graduate
5,14.2,5,14.6,168.5,6,21,152.0,7,Yes,Graduate
2,10.0,3,11.833333333333334,130.0,14,38,133.1,13,Yes,Dropout
8,12.5125,7,12.625,122.8,11,19,140.0,11,Yes,Graduate
3,12.333333333333334,4,11.5,110.0,14,36,133.1,12,Yes,Dropout
4,10.5,4,13.25,127.1,10,18,140.0,8,Yes,Graduate
6,11.9,7,12.60625,108.5,12,19,133.1,9,Yes,Graduate
5,13.2,8,13.75,138.2,17,21,140.0,15,No,Dropout
6,11.933333333333332,6,13.598333333333334,96.0,11,19,133.1,10,Yes,Enrolled
6,12.285714285714286,5,11.142857142857142,124.5,8,18,135.0,11,Yes,Graduate
10,12.96818181818182,11,12.7,120.0,12,45,120.0,11,Yes,Enrolled
1,11.0,1,10.0,132.3,10,20,140.0,9,Yes,Dropout
4,11.5,6,11.666666666666666,120.7,10,18,128.0,8,Yes,Graduate
6,13.142857142857142,6,14.0,132.6,7,18,141.0,8,Yes,Graduate
0,0.0,0,0.0,140.0,9,25,140.0,9,Yes,Dropout
7,12.04142857142857,7,12.04142857142857,124.5,9,19,139.0,9,Yes,Graduate
0,0.0,0,0.0,142.0,0,18,142.0,0,Yes,Graduate
12,14.583333333333334,13,13.76923076923077,130.0,16,39,130.0,14,Yes,Graduate
13,15.307692307692308,18,15.444444444444445,144.0,13,29,130.0,20,Yes,Graduate
7,12.714285714285714,6,11.5,128.5,8,18,125.0,9,Yes,Enrolled
0,0.0,2,10.0,140.0,0,23,140.0,3,No,Dropout
3,10.333333333333334,4,12.25,113.9,13,21,120.0,8,Yes,Dropout
6,15.166666666666666,6,14.5,137.2,6,18,147.0,6,No,Graduate
6,16.375,6,15.571428571428571,140.0,8,23,140.0,7,Yes,Graduate
6,14.714285714285714,6,15.571428571428571,152.3,7,18,161.0,7,Yes,Graduate
6,12.166666666666666,5,13.8,112.5,7,32,133.1,8,Yes,Graduate
2,14.8,3,10.666666666666666,101.0,14,29,150.0,8,No,Dropout
4,11.75,5,11.6,112.3,8,20,113.0,8,Yes,Graduate
0,0.0,1,13.0,114.0,12,28,140.0,11,No,Dropout
4,13.625,3,12.0,130.0,11,27,130.0,9,Yes,Graduate
12,12.333333333333334,12,12.333333333333334,121.5,14,22,120.0,14,Yes,Graduate
6,12.9,6,12.875,120.0,12,37,133.1,10,Yes,Enrolled
0,0.0,1,11.0,130.0,0,28,130.0,12,No,Dropout
4,10.5,4,12.25,125.7,13,43,120.0,10,No,Dropout
0,0.0,0,0.0,128.0,8,32,140.0,7,No,Dropout
5,11.5,4,10.75,113.2,13,20,123.0,11,Yes,Enrolled
8,13.63,8,13.63,120.0,9,35,133.1,9,Yes,Graduate
4,11.5,3,13.0,117.8,7,21,130.0,8,Yes,Graduate
7,12.228571428571428,6,13.533333333333331,121.3,7,18,126.0,9,Yes,Enrolled
8,16.37777777777778,7,16.9,169.7,9,18,176.0,7,Yes,Graduate
4,12.0,5,12.0,117.7,11,18,124.0,10,Yes,Graduate
6,13.285714285714286,6,12.5,121.8,7,22,120.0,6,Yes,Graduate
7,12.764285714285714,7,12.764285714285714,128.3,8,19,140.0,8,Yes,Graduate
5,12.166666666666666,5,13.75,132.2,6,18,143.0,8,Yes,Graduate
0,0.0,0,0.0,134.3,0,19,136.0,0,Yes,Dropout
8,15.68333333333333,7,14.604285714285712,123.4,9,18,132.0,7,Yes,Graduate
0,0.0,0,0.0,121.7,7,31,133.1,7,No,Dropout
6,12.5,5,13.833333333333334,130.0,7,33,100.0,9,Yes,Graduate
8,13.57625,8,13.57625,126.5,8,19,137.0,8,Yes,Graduate
6,15.833333333333334,6,15.142857142857142,159.7,6,18,153.0,7,Yes,Graduate
5,11.6,3,10.666666666666666,151.3,8,23,160.0,8,Yes,Graduate
6,12.0,5,11.2,138.0,6,20,145.0,11,Yes,Graduate
8,13.76375,8,13.76375,126.5,8,18,137.0,8,Yes,Graduate
5,12.2,8,13.25,140.0,14,21,140.0,10,Yes,Enrolled
5,12.2,5,10.714285714285714,112.3,10,22,120.0,10,Yes,Graduate
6,11.666666666666666,6,12.166666666666666,127.3,7,20,122.0,6,Yes,Graduate
6,14.357142857142858,6,14.357142857142858,130.0,8,23,130.0,8,Yes,Graduate
6,12.666666666666666,6,12.833333333333334,115.0,6,19,133.1,6,Yes,Graduate
7,13.925714285714283,7,13.925714285714283,131.5,8,19,150.0,8,Yes,Graduate
3,11.0,2,12.0,125.7,9,26,133.1,9,Yes,Dropout
8,13.744444444444444,7,13.44285714285714,126.8,9,18,141.0,7,Yes,Graduate
0,0.0,1,16.0,132.4,5,18,146.0,5,Yes,Dropout
6,13.2,6,13.125,150.0,10,20,150.0,8,Yes,Graduate
0,0.0,0,0.0,95.0,6,19,133.1,7,Yes,Dropout
4,11.0,5,11.4,128.2,4,32,120.0,9,No,Dropout
3,11.666666666666666,2,11.0,130.0,9,31,150.0,12,No,Dropout
1,10.0,1,11.0,100.0,11,25,133.1,13,Yes,Enrolled
5,13.0,5,13.666666666666666,159.9,10,21,140.0,14,Yes,Graduate
1,10.0,4,11.75,100.0,6,31,140.0,10,No,Dropout
1,13.0,1,10.0,116.5,7,34,133.1,11,Yes,Dropout
6,12.833333333333334,6,13.5,120.0,9,18,128.0,8,Yes,Graduate
0,0.0,0,0.0,117.0,0,19,117.0,0,Yes,Dropout
1,11.0,1,12.0,140.0,11,21,140.0,12,Yes,Enrolled
5,11.8,3,13.0,118.1,10,18,124.0,11,No,Dropout
6,16.0,6,14.833333333333334,153.5,6,20,158.0,7,Yes,Graduate
6,12.857142857142858,6,11.833333333333334,127.9,7,20,137.0,6,Yes,Graduate
5,12.333333333333334,5,12.0,118.8,11,18,123.0,10,Yes,Graduate
6,11.333333333333334,4,12.75,126.7,7,19,126.0,11,Yes,Graduate
4,14.75,0,0.0,170.0,7,19,170.0,5,Yes,Enrolled
1,10.0,0,0.0,110.0,16,30,133.1,7,Yes,Dropout
6,12.857142857142858,6,12.0,115.0,7,19,115.0,6,Yes,Graduate
8,13.8,7,11.677777777777775,119.0,8,19,132.0,9,Yes,Graduate
7,13.6,7,13.6,121.8,8,19,132.0,8,Yes,Graduate
6,15.875,6,16.0,133.4,8,19,143.0,7,Yes,Graduate
6,11.5,5,11.8,131.4,7,20,137.0,9,Yes,Graduate
2,14.0,0,0.0,135.0,7,25,130.0,5,Yes,Dropout
0,0.0,0,0.0,122.8,0,19,121.0,0,Yes,Dropout
6,16.2,6,16.142857142857142,140.0,10,34,130.0,7,Yes,Graduate
7,11.785714285714286,7,11.785714285714286,125.3,8,18,135.0,8,Yes,Graduate
8,13.42375,8,13.42375,126.3,8,18,137.0,8,Yes,Graduate
5,14.166666666666666,6,12.5,100.0,10,20,100.0,8,Yes,Graduate
7,12.464285714285714,7,12.464285714285714,121.3,8,20,127.0,8,Yes,Graduate
5,12.6,8,12.375,135.0,15,23,140.0,18,Yes,Enrolled
0,0.0,1,10.0,120.0,9,28,140.0,8,Yes,Dropout
6,12.428571428571429,5,12.6,113.7,10,18,121.0,8,Yes,Enrolled
4,12.4,5,12.6,129.7,6,19,131.0,5,Yes,Graduate
4,12.0,2,10.0,132.1,6,34,151.0,7,Yes,Dropout
0,0.0,0,0.0,120.3,0,35,130.0,7,Yes,Dropout
5,12.333333333333334,5,11.6,120.0,8,32,120.0,7,Yes,Graduate
6,13.5,6,12.166666666666666,123.1,6,19,136.0,8,Yes,Graduate
5,12.666666666666666,4,13.6,119.4,7,18,125.0,10,Yes,Graduate
5,11.8,4,12.5,140.0,8,35,133.1,8,No,Dropout
4,11.5,4,12.25,116.5,10,24,133.1,6,Yes,Enrolled
6,12.625,6,11.714285714285714,113.0,8,20,120.0,7,Yes,Graduate
6,13.0,6,13.5,133.9,7,18,143.0,7,Yes,Graduate
7,13.024285714285714,7,13.024285714285714,115.5,8,20,133.1,8,Yes,Graduate
0,0.0,0,0.0,116.5,0,18,121.0,12,No,Dropout
5,18.571428571428573,5,17.333333333333332,171.2,8,18,168.0,6,Yes,Graduate
4,11.5,4,11.0,119.1,7,20,124.0,7,Yes,Graduate
6,12.5,6,13.666666666666666,121.1,9,19,127.0,10,Yes,Dropout
5,13.8,6,11.375,132.9,6,20,129.0,9,Yes,Enrolled
6,11.833333333333334,6,12.833333333333334,132.8,8,19,137.0,6,Yes,Graduate
4,11.5,5,12.6,126.7,11,20,120.0,9,Yes,Graduate
7,13.771428571428572,6,14.333333333333334,105.8,9,22,110.0,8,Yes,Graduate
6,13.625,4,13.5,117.2,10,18,120.0,8,Yes,Enrolled
7,14.285714285714286,7,14.285714285714286,140.0,8,19,143.0,8,Yes,Graduate
2,10.0,3,11.75,120.0,12,22,120.0,15,Yes,Dropout
5,17.6,5,14.8,119.5,5,20,124.0,5,Yes,Graduate
0,0.0,0,0.0,153.9,0,34,168.0,7,No,Dropout
0,0.0,1,10.0,130.0,5,24,133.1,14,Yes,Dropout
0,0.0,0,0.0,107.0,5,26,150.0,5,Yes,Dropout
5,12.38,4,12.6,132.8,9,35,140.0,10,Yes,Dropout
5,11.8,5,12.428571428571429,127.5,7,22,145.0,9,Yes,Graduate
3,12.0,4,10.0,123.3,11,26,118.0,10,Yes,Enrolled
0,0.0,3,12.333333333333334,122.0,5,19,123.0,7,Yes,Dropout
0,0.0,0,0.0,114.8,0,19,120.0,0,No,Dropout
0,0.0,0,0.0,140.0,0,20,140.0,0,Yes,Graduate
8,13.333333333333334,10,12.1,111.0,9,21,126.0,12,Yes,Graduate
6,15.0,6,14.714285714285714,133.2,6,19,137.0,7,Yes,Graduate
6,12.833333333333334,6,12.666666666666666,123.0,7,18,130.0,6,Yes,Graduate
10,13.3,12,14.384615384615383,150.0,12,23,150.0,14,Yes,Graduate
5,12.2,5,13.4,132.3,6,18,147.0,5,Yes,Graduate
7,13.314285714285717,7,13.314285714285717,126.0,8,18,140.0,8,Yes,Graduate
7,11.98857142857143,7,11.98857142857143,119.3,8,19,132.0,8,Yes,Graduate
8,12.88888888888889,11,11.545454545454543,133.8,13,21,130.0,17,Yes,Graduate
6,13.875,6,16.46153846153846,126.5,8,18,130.0,13,Yes,Graduate
6,12.833333333333334,6,13.666666666666666,138.4,6,24,151.0,7,Yes,Graduate
8,13.411111111111111,7,12.65,129.0,9,18,144.0,8,Yes,Dropout
3,12.0,6,12.333333333333334,118.3,10,18,127.0,7,Yes,Enrolled
7,14.65,6,14.37,129.8,10,20,131.0,8,Yes,Graduate
4,11.75,3,12.0,113.6,8,19,123.0,13,Yes,Enrolled
3,10.666666666666666,3,12.0,128.3,15,18,130.0,12,No,Dropout
3,11.0,4,12.0,130.0,14,19,130.0,11,Yes,Dropout
5,11.2,5,12.6,121.9,7,19,131.0,10,Yes,Graduate
6,12.333333333333334,6,12.166666666666666,129.4,6,18,135.0,6,Yes,Graduate
6,14.0,6,13.5,115.3,8,20,123.0,8,Yes,Enrolled
8,13.76375,8,13.76375,125.5,8,18,145.0,8,Yes,Graduate
6,12.8,6,12.4,117.8,8,19,118.0,11,Yes,Graduate
2,12.0,4,10.666666666666666,118.7,11,18,125.0,16,Yes,Enrolled
6,14.333333333333334,6,14.333333333333334,139.0,7,18,152.0,7,Yes,Graduate
2,12.666666666666666,4,12.5,98.9,13,21,101.0,12,Yes,Enrolled
0,0.0,1,10.0,137.7,13,19,137.0,14,No,Dropout
8,14.622222222222224,7,14.69625,113.6,9,21,123.0,8,Yes,Graduate
